manv,hoten,phai,ngsinh,cmnd,que,sdt,cstyt,vaitro,chuyenkhoa,matkhau
NV000049,Chau Thai Phong,0,4/7/1994,79301000049,Ha Tinh,764030157,CS000044,Co so y te,,NV000049
NV000050,Vu Quang Cuong,0,1/15/1998,79301000050,Bac Lieu,341377402,CS000045,Co so y te,,NV000050
NV000051,Chung Van Nghiem,0,1/18/1976,79301000051,Hung Yen,995000671,CS000046,Co so y te,,NV000051
NV000052,Phi Kim Ai,1,6/10/1957,79301000052,Tay Ninh,860508231,CS000047,Co so y te,,NV000052
NV000053,Lac Duy Son,1,3/3/1975,79301000053,Tra Vinh,821803587,CS000048,Co so y te,,NV000053
NV000054,Le  Dieu Phe,1,8/10/1967,79301000054,Hau Giang,933360748,CS000049,Co so y te,,NV000054
NV000055,Dang Ba Sang,0,8/28/1967,79301000055,Ha Nam,582707385,CS000050,Co so y te,,NV000055
NV000056,La Hong Thinh,0,5/5/1966,79301000056,Lai Chau,327211617,CS000026,Y si/Bac si,KH000003,NV000056
NV000057,Phan Van Xuong,1,1/25/1990,79301000057,Kon Tum,933043255,CS000012,Y si/Bac si,KH000016,NV000057
NV000058,Thinh Dinh Binh,1,8/27/1952,79301000058,Hau Giang,830766104,CS000042,Y si/Bac si,KH000010,NV000058
NV000059,Lanh Thanh Luan,1,5/27/1968,79301000059,Hai Duong,778325142,CS000030,Y si/Bac si,KH000014,NV000059
NV000060,Phan Gia Hien,1,4/16/1963,79301000060,Thai Nguyen,922457886,CS000010,Y si/Bac si,KH000013,NV000060
NV000061,Vu Thu Hue,1,12/14/1977,79301000061,Bac Ninh,824326832,CS000038,Y si/Bac si,KH000024,NV000061
NV000062,Hua Kim Cat,1,10/27/1985,79301000062,Dak Lak,320581235,CS000025,Y si/Bac si,KH000011,NV000062
NV000063,Chu Thi Hanh,1,4/16/1976,79301000063,Long An,881787222,CS000011,Y si/Bac si,KH000025,NV000063
NV000064,Thinh Ba Phuc,1,1/16/1955,79301000064,Ha Nam,935311416,CS000004,Y si/Bac si,KH000005,NV000064
NV000065,Hinh The Thinh,0,3/22/1965,79301000065,Nghe An,588842052,CS000027,Y si/Bac si,KH000014,NV000065
NV000066,Duong Vuong Vy,0,9/26/1988,79301000066,Lao Cai,814400521,CS000013,Y si/Bac si,KH000003,NV000066
NV000067,Do Thanh Cat,1,2/15/1972,79301000067,Ha Noi,894758382,CS000024,Y si/Bac si,KH000012,NV000067
NV000068,Hinh Ngoc Luan,1,5/15/1988,79301000068,Dien Bien,395477230,CS000013,Y si/Bac si,KH000017,NV000068
NV000069,Hoang Vinh Ai,0,8/4/1967,79301000069,Quang Tri,385061805,CS000031,Y si/Bac si,KH000011,NV000069
NV000070,Vo Le Quang,0,1/22/1982,79301000070,Hai Phong,922130620,CS000015,Y si/Bac si,KH000003,NV000070
NV000071,Phan Xuan Hai,1,1/23/1993,79301000071,Son La,777010520,CS000002,Y si/Bac si,KH000004,NV000071
NV000072,Do Huy Son,0,3/22/1973,79301000072,Can Tho,383321216,CS000017,Y si/Bac si,KH000005,NV000072
NV000073,Truon Huy Ai,0,6/18/1951,79301000073,Hai Phong,382442675,CS000020,Y si/Bac si,KH000005,NV000073
NV000074,Le  Thi Minh,0,3/27/1968,79301000074,Ha Tinh,384048445,CS000021,Y si/Bac si,KH000005,NV000074
NV000075,Quan Thu Ba,0,5/11/1984,79301000075,Dak Nong,915060128,CS000027,Y si/Bac si,KH000004,NV000075
NV000076,Vu Kim Huong,1,1/10/1967,79301000076,Cao Bang,700750576,CS000042,Y si/Bac si,KH000021,NV000076
NV000077,Cong Thong Chau,1,1/1/1952,79301000077,Thai Binh,887857485,CS000025,Y si/Bac si,KH000014,NV000077
NV000078,Thinh Vuong Nguyen,0,12/8/1953,79301000078,Ha Giang,900642461,CS000029,Y si/Bac si,KH000019,NV000078
NV000079,Pham Viet Nhiem,0,7/25/1968,79301000079,Tuyen Quang,998646433,CS000031,Y si/Bac si,KH000024,NV000079
NV000080,Phung Vuong Khanh,1,11/2/1987,79301000080,Dak Nong,838618656,CS000032,Y si/Bac si,KH000019,NV000080
NV000081,Le  Hoang Cung,1,9/28/1968,79301000081,Dien Bien,388465861,CS000003,Y si/Bac si,KH000021,NV000081
NV000082,Khuong Quang Suong,0,10/5/1959,79301000082,Quang Ninh,855524630,CS000009,Y si/Bac si,KH000013,NV000082
NV000083,Khuong Duc Cao,1,3/7/1954,79301000083,Thanh Hoa,915588163,CS000008,Y si/Bac si,KH000007,NV000083
NV000084,Chung Gia Xuyen,1,8/27/1989,79301000084,Ha Noi,885837434,CS000046,Y si/Bac si,KH000025,NV000084
NV000085,Dang Duc Thi,0,11/22/1996,79301000085,Da Nang,788108010,CS000025,Y si/Bac si,KH000015,NV000085
NV000086,Bui Ha Khoa,1,12/28/1972,79301000086,Bac Giang,773846773,CS000034,Y si/Bac si,KH000017,NV000086
NV000087,Hua An Kiet,1,5/3/1975,79301000087,Bac Kan,905711776,CS000043,Y si/Bac si,KH000004,NV000087
NV000088,Cong Vuong Khoa,0,3/23/1982,79301000088,Vinh Long,928603348,CS000040,Y si/Bac si,KH000018,NV000088
NV000089,Duong The Luyen,1,9/2/1968,79301000089,Ninh Binh,842121560,CS000009,Y si/Bac si,KH000017,NV000089
NV000090,Cong Huy Cong,0,5/28/1990,79301000090,Lang Son,374860685,CS000026,Y si/Bac si,KH000010,NV000090
NV000091,Thinh Thu Suong,0,1/4/1969,79301000091,Phu Tho,986155348,CS000003,Y si/Bac si,KH000016,NV000091
NV000092,Huong Hung Lang,0,8/16/1977,79301000092,Hung Yen,983437853,CS000018,Y si/Bac si,KH000013,NV000092
NV000093,Vu Nhu Chu,0,5/28/1957,79301000093,Ninh Binh,823517570,CS000050,Y si/Bac si,KH000020,NV000093
NV000094,Khuong Duc Khanh,1,2/22/1998,79301000094,Bac Giang,935763184,CS000005,Y si/Bac si,KH000006,NV000094
NV000095,Duong Dieu Long,0,9/8/1960,79301000095,Tuyen Quang,810638801,CS000008,Y si/Bac si,KH000013,NV000095
NV000096,Hua Van Lam,1,8/15/1963,79301000096,Tra Vinh,582552651,CS000047,Y si/Bac si,KH000025,NV000096
NV000097,Hoang Quo Nghia,0,7/15/1994,79301000097,Tra Vinh,996234203,CS000047,Y si/Bac si,KH000017,NV000097
NV000098,Chau Hieu Quoc,0,8/15/1998,79301000098,Lai Chau,561436886,CS000033,Y si/Bac si,KH000025,NV000098
NV000099,Thinh Ba Chuc,0,10/15/1970,79301000099,Lao Cai,884375363,CS000015,Y si/Bac si,KH000019,NV000099
NV000100,Nguyen  Ha Luan,0,8/10/1975,79301000100,Bac Ninh,820537251,CS000005,Y si/Bac si,KH000013,NV000100
NV000101,Ngo Trong Danh,0,9/23/1962,79301000101,Son La,337324748,CS000007,Y si/Bac si,KH000009,NV000101
NV000102,Dang Hoang Chinh,1,5/14/1961,79301000102,Dak Lak,971602483,CS000030,Y si/Bac si,KH000012,NV000102
NV000103,Ho Phu Phuc,0,6/26/1980,79301000103,Ha Tinh,822544240,CS000049,Y si/Bac si,KH000004,NV000103
NV000104,Le  Vuong Nhiem,0,8/8/1966,79301000104,Hoa Binh,321762226,CS000046,Y si/Bac si,KH000015,NV000104
NV000105,Chau Viet Luan,1,4/8/1964,79301000105,Dien Bien,994351472,CS000036,Y si/Bac si,KH000016,NV000105
NV000106,Lac Thong Cung,0,3/6/1993,79301000106,Lam Dong,898620575,CS000043,Y si/Bac si,KH000018,NV000106
NV000107,Nguyen  Trong Dao,1,7/20/1953,79301000107,Thai Binh,905041377,CS000035,Y si/Bac si,KH000007,NV000107
NV000108,Phung Minh Cung,1,8/29/1993,79301000108,Ben Tre,830276256,CS000031,Y si/Bac si,KH000021,NV000108
NV000109,Nguyen  Ba Hanh,1,8/21/1953,79301000109,Ca Mau,835103442,CS000031,Y si/Bac si,KH000008,NV000109
NV000110,Trung Xuan Xuong,0,10/8/1951,79301000110,Bac Ninh,842688113,CS000008,Y si/Bac si,KH000003,NV000110
NV000111,Khuong Dinh Huyen,0,10/13/1951,79301000111,Nghe An,813348400,CS000006,Y si/Bac si,KH000011,NV000111
NV000112,Pham Thanh Thoa,1,12/5/1957,79301000112,Vinh Long,826471876,CS000017,Y si/Bac si,KH000024,NV000112
NV000113,Phan Thi Chuc,1,4/22/1995,79301000113,Tay Ninh,348231084,CS000011,Y si/Bac si,KH000025,NV000113
NV000114,Lang An Thi,1,2/13/1976,79301000114,Vinh Phuc,795726173,CS000029,Y si/Bac si,KH000009,NV000114
NV000115,Chung Hong Cuc,1,5/27/1960,79301000115,Can Tho,374124804,CS000022,Y si/Bac si,KH000003,NV000115
NV000116,Tran Dinh Khoi,0,10/17/1997,79301000116,Binh Phuoc,783023314,CS000015,Y si/Bac si,KH000012,NV000116
NV000117,Quan Xuan Boc,1,10/7/1987,79301000117,Bac Kan,382360560,CS000006,Y si/Bac si,KH000001,NV000117
NV000118,Le  Quo Cuc,0,4/28/1975,79301000118,Tay Ninh,580204067,CS000031,Y si/Bac si,KH000007,NV000118
NV000119,Cong Phu Minh,1,5/21/1979,79301000119,Lang Son,818770076,CS000046,Y si/Bac si,KH000025,NV000119
NV000120,Vo Hoang Nhiem,1,7/9/1990,79301000120,Ben Tre,341600867,CS000007,Y si/Bac si,KH000010,NV000120
NV000121,Dang Quo Kiet,0,7/18/1950,79301000121,Da Nang,352603123,CS000029,Y si/Bac si,KH000003,NV000121
NV000122,Ho Vuong Luyen,0,1/2/1993,79301000122,Ba Ria-Vung Tau,831700162,CS000026,Y si/Bac si,KH000018,NV000122
NV000123,Sam Thanh Lieu,0,2/22/1976,79301000123,Dong Nai,920167647,CS000029,Y si/Bac si,KH000024,NV000123
NV000124,Hinh Dinh Lam,1,10/12/1956,79301000124,Hung Yen,581336036,CS000038,Y si/Bac si,KH000025,NV000124
NV000125,Vu Dang Manh,1,4/14/1971,79301000125,Nam Dinh,795461443,CS000006,Y si/Bac si,KH000012,NV000125
NV000126,Huong Dang Huy,1,4/8/1968,79301000126,Quang Ngai,587327134,CS000035,Y si/Bac si,KH000023,NV000126
NV000127,Quach Gia Phi,1,2/2/1984,79301000127,Nam Dinh,780524730,CS000048,Y si/Bac si,KH000025,NV000127
NV000128,Ly Huy Lam,1,6/20/1962,79301000128,Quang Binh,961222802,CS000005,Y si/Bac si,KH000013,NV000128
NV000129,Lang Quo Son,0,5/11/1964,79301000129,Thua Thien-Hue,380308026,CS000028,Y si/Bac si,KH000008,NV000129
NV000130,Quang Duc Pham,0,3/5/1983,79301000130,Lang Son,384880648,CS000029,Y si/Bac si,KH000002,NV000130
NV000131,Hinh Ngoc Vinh,1,4/6/1959,79301000131,Yen Bai,920226440,CS000037,Y si/Bac si,KH000009,NV000131
NV000132,Cong Thong Chi,1,12/20/1991,79301000132,Nghe An,701542877,CS000021,Y si/Bac si,KH000020,NV000132
NV000133,Quan Duy Dung,1,12/12/1984,79301000133,Tien Giang,924617211,CS000044,Y si/Bac si,KH000014,NV000133
NV000134,Ly Vuong Luan,1,6/10/1982,79301000134,Phu Yen,816153882,CS000022,Y si/Bac si,KH000007,NV000134
NV000135,Dang Hoang Uyen,1,11/27/1961,79301000135,Phu Yen,387735167,CS000016,Y si/Bac si,KH000017,NV000135
NV000136,Phuong Dai Xuyen,0,9/7/1996,79301000136,Kon Tum,384145007,CS000031,Y si/Bac si,KH000011,NV000136
NV000137,Bach Le Cung,0,12/9/1996,79301000137,Kien Giang,976742473,CS000044,Y si/Bac si,KH000004,NV000137
NV000138,Cong Dinh Thuong,0,6/11/1988,79301000138,Ha Tinh,355126706,CS000022,Y si/Bac si,KH000012,NV000138
NV000139,Duong Ngoc Anh,1,11/13/1995,79301000139,Binh Dinh,785752013,CS000008,Y si/Bac si,KH000015,NV000139
NV000140,Phuong The Hiep,0,3/12/1977,79301000140,Dien Bien,965131145,CS000008,Y si/Bac si,KH000009,NV000140
NV000141,Bach Thanh Thuy,0,10/1/1996,79301000141,Hai Duong,852213726,CS000011,Y si/Bac si,KH000012,NV000141
NV000142,Phung Hoang Quoc,0,10/27/1952,79301000142,Son La,344771286,CS000050,Y si/Bac si,KH000016,NV000142
NV000143,Cong Phu Quyen,1,2/4/1991,79301000143,Bac Lieu,794351652,CS000047,Y si/Bac si,KH000006,NV000143
NV000144,Nguyen  Anh Cong,1,4/4/1991,79301000144,Khanh Hoa,991037816,CS000019,Y si/Bac si,KH000018,NV000144
NV000145,Vo Viet Canh,1,7/10/1955,79301000145,Lai Chau,397441586,CS000016,Y si/Bac si,KH000012,NV000145
NV000146,Do Ha Au,0,10/18/1976,79301000146,Thanh Hoa,976113867,CS000008,Y si/Bac si,KH000004,NV000146
NV000147,Nguyen  An Boc,1,5/19/1971,79301000147,Bac Lieu,381447717,CS000029,Y si/Bac si,KH000018,NV000147
NV000148,Hua Hong Thuan,0,6/25/1978,79301000148,Ca Mau,341677278,CS000036,Y si/Bac si,KH000025,NV000148
NV000149,Hoang Le Chi,1,6/5/1981,79301000149,Vinh Long,977855720,CS000011,Y si/Bac si,KH000001,NV000149
NV000150,Pham Hieu Hue,1,6/2/1950,79301000150,Bac Giang,327346825,CS000017,Y si/Bac si,KH000008,NV000150
NV000151,Phuong Ba Son,1,1/12/1971,79301000151,Lai Chau,566382543,CS000048,Y si/Bac si,KH000023,NV000151
NV000152,Binh Gia Phe,1,9/6/1956,79301000152,Dong Nai,766035432,CS000036,Y si/Bac si,KH000008,NV000152
NV000153,Hinh Dinh Nga,0,3/26/1959,79301000153,Lam Dong,823625214,CS000022,Y si/Bac si,KH000022,NV000153
NV000154,Do Gia Lam,1,2/19/1999,79301000154,Phu Yen,380633344,CS000033,Y si/Bac si,KH000009,NV000154
NV000155,Vu Minh Khoan,1,9/25/1958,79301000155,Hoa Binh,765744424,CS000028,Y si/Bac si,KH000020,NV000155
NV000156,Phuong Phu Khoa,1,5/21/1990,79301000156,Hai Phong,923870808,CS000034,Y si/Bac si,KH000008,NV000156
NV000157,Quang Hung Nhiem,0,8/20/1975,79301000157,Ba Ria-Vung Tau,931240476,CS000031,Y si/Bac si,KH000013,NV000157
NV000158,La Dai Lang,1,5/27/1958,79301000158,Thai Binh,823133680,CS000006,Y si/Bac si,KH000019,NV000158
NV000159,Le  Hoang Thy,0,5/12/1981,79301000159,Ninh Thuan,797242365,CS000020,Y si/Bac si,KH000018,NV000159
NV000160,Lanh Xuan Phe,1,10/20/1986,79301000160,Tuyen Quang,820526732,CS000014,Y si/Bac si,KH000011,NV000160
NV000161,Chung Le Cung,0,3/26/1994,79301000161,Binh Dinh,847410868,CS000029,Y si/Bac si,KH000001,NV000161
NV000162,Dang Hieu Binh,0,1/1/1967,79301000162,Thanh Hoa,938746660,CS000018,Y si/Bac si,KH000020,NV000162
NV000163,La Vinh Cung,0,1/26/1955,79301000163,Hung Yen,395272277,CS000015,Y si/Bac si,KH000023,NV000163
NV000164,Phung Trong Bich,0,9/23/1988,79301000164,Thai Binh,583715117,CS000006,Y si/Bac si,KH000023,NV000164
NV000165,La Huy Canh,0,10/16/1953,79301000165,Ha Tinh,906366652,CS000044,Y si/Bac si,KH000012,NV000165
NV000166,Cong Hieu Sinh,1,1/7/1975,79301000166,Hau Giang,333305044,CS000015,Y si/Bac si,KH000006,NV000166
NV000167,Pham Gia Hanh,0,6/21/1964,79301000167,Hai Phong,812287138,CS000025,Y si/Bac si,KH000001,NV000167
NV000168,Chau Xuan Va,1,8/12/1961,79301000168,Dien Bien,831166262,CS000011,Y si/Bac si,KH000004,NV000168
NV000169,Chau Vinh Vuong,1,2/18/1985,79301000169,Can Tho,560213447,CS000015,Y si/Bac si,KH000016,NV000169
NV000170,Do Thong Cong,1,4/14/1988,79301000170,Quang Binh,385258685,CS000007,Y si/Bac si,KH000014,NV000170
NV000171,Ly Quang Khanh,1,12/17/1992,79301000171,Hoa Binh,386501771,CS000035,Y si/Bac si,KH000005,NV000171
NV000172,Chu Hieu Dung,1,12/7/1952,79301000172,Tuyen Quang,862528568,CS000024,Y si/Bac si,KH000015,NV000172
NV000173,Quach Ngoc Lieu,0,2/17/1998,79301000173,Binh Phuoc,816426454,CS000003,Y si/Bac si,KH000006,NV000173
NV000174,Chau Hoang Nga,0,12/15/1955,79301000174,Hai Duong,815665582,CS000040,Y si/Bac si,KH000013,NV000174
NV000175,Pham Phu Huong,0,12/2/1972,79301000175,Bac Ninh,786338577,CS000002,Y si/Bac si,KH000014,NV000175
NV000176,Quan Vinh Hai,1,5/13/1957,79301000176,Son La,883420325,CS000012,Y si/Bac si,KH000010,NV000176
NV000177,Vo Ba Cuong,0,7/18/1984,79301000177,Lang Son,793344416,CS000041,Y si/Bac si,KH000007,NV000177
NV000178,Lanh Viet Thuy,1,3/15/1977,79301000178,Thai Binh,598757660,CS000029,Y si/Bac si,KH000017,NV000178
NV000179,Truon Thanh Minh,1,3/2/1951,79301000179,Hai Duong,562023150,CS000049,Y si/Bac si,KH000004,NV000179
NV000180,Hua Hung Hong,0,2/17/1992,79301000180,Quang Tri,595641244,CS000050,Y si/Bac si,KH000025,NV000180
NV000181,Bui Ngoc Uyen,1,3/8/1962,79301000181,Lai Chau,933354835,CS000036,Y si/Bac si,KH000001,NV000181
NV000182,Phuong Phu Canh,0,4/18/1956,79301000182,Cao Bang,980400064,CS000033,Y si/Bac si,KH000022,NV000182
NV000183,Duong Dai Hong,0,9/25/1987,79301000183,Ha Nam,343528538,CS000043,Y si/Bac si,KH000010,NV000183
NV000184,Chu Duy Thu,1,1/28/1998,79301000184,Quang Ngai,765518205,CS000007,Y si/Bac si,KH000006,NV000184
NV000185,Binh Thong Hai,1,2/23/1991,79301000185,Tuyen Quang,798466030,CS000040,Y si/Bac si,KH000015,NV000185
NV000186,Duong Thanh Hung,1,6/27/1988,79301000186,Ho Chi Minh,590444835,CS000038,Y si/Bac si,KH000003,NV000186
NV000187,Hinh Hoang Chi,1,2/19/1950,79301000187,Yen Bai,991674155,CS000026,Y si/Bac si,KH000007,NV000187
NV000188,Chau Quo Phuong,1,6/1/1968,79301000188,Gia Lai,948884728,CS000020,Y si/Bac si,KH000018,NV000188
NV000189,Cong Vuong Manh,0,7/7/1979,79301000189,Ha Tinh,943265311,CS000045,Y si/Bac si,KH000019,NV000189
NV000190,Lac Viet Son,0,4/14/1963,79301000190,Quang Ninh,975832384,CS000004,Y si/Bac si,KH000007,NV000190
NV000191,Vo Dinh Hien,1,8/28/1992,79301000191,Ha Noi,563413488,CS000022,Y si/Bac si,KH000020,NV000191
NV000192,Ly Trong Khanh,1,1/23/1970,79301000192,Binh Phuoc,591638066,CS000027,Y si/Bac si,KH000002,NV000192
NV000193,Chau Thi Suong,0,9/12/1977,79301000193,Gia Lai,886028066,CS000035,Y si/Bac si,KH000019,NV000193
NV000194,Phan Ba Uyen,1,4/22/1993,79301000194,Lai Chau,977578822,CS000010,Y si/Bac si,KH000020,NV000194
NV000195,Bach Thai Thu,0,2/17/1970,79301000195,Hai Duong,960046174,CS000020,Y si/Bac si,KH000015,NV000195
NV000196,Trung Thong Kien,0,7/11/1984,79301000196,Bac Ninh,830161065,CS000031,Y si/Bac si,KH000018,NV000196
NV000197,Duong An Hai,0,2/12/1962,79301000197,Tuyen Quang,565676735,CS000043,Y si/Bac si,KH000003,NV000197
NV000198,Phan Dieu Hiep,1,7/6/1973,79301000198,Quang Binh,823222356,CS000031,Y si/Bac si,KH000021,NV000198
NV000199,Bui Hoang Nam,1,10/15/1950,79301000199,Bac Ninh,912748878,CS000045,Y si/Bac si,KH000008,NV000199
NV000200,Thinh Trong Vinh,1,12/2/1978,79301000200,Kien Giang,848372301,CS000040,Y si/Bac si,KH000019,NV000200
NV000201,Lac Ha Pham,0,6/26/1965,79301000201,Lam Dong,350110160,CS000036,Y si/Bac si,KH000016,NV000201
NV000202,Chung Dang Au,1,12/19/1971,79301000202,Phu Tho,908082228,CS000007,Y si/Bac si,KH000020,NV000202
NV000203,Quach Hieu Xuong,1,10/25/1989,79301000203,Soc Trang,353124055,CS000010,Y si/Bac si,KH000007,NV000203
NV000204,Bach Hung Chanh,1,7/24/1951,79301000204,Cao Bang,334080700,CS000033,Y si/Bac si,KH000024,NV000204
NV000205,Trung Dinh Vinh,0,4/16/1992,79301000205,An Giang,791446268,CS000001,Y si/Bac si,KH000014,NV000205
NV000206,Huynh Le Nguyet,1,1/30/1990,79301000206,Thai Nguyen,794625253,CS000015,Y si/Bac si,KH000019,NV000206
NV000207,Phuong Hung Cung,1,4/14/1983,79301000207,Nghe An,833302350,CS000032,Y si/Bac si,KH000004,NV000207
NV000208,Lac Thai Nam,1,5/9/1979,79301000208,Cao Bang,851560355,CS000002,Y si/Bac si,KH000021,NV000208
NV000209,Tran Tan Luyen,0,5/14/1984,79301000209,Hung Yen,821020072,CS000047,Y si/Bac si,KH000002,NV000209
NV000210,Phuong Thi Nguyen,1,7/10/1964,79301000210,Phu Tho,865146005,CS000030,Y si/Bac si,KH000001,NV000210
NV000211,Ngo Dai Tho,0,11/4/1998,79301000211,Quang Tri,978760575,CS000042,Y si/Bac si,KH000003,NV000211
NV000212,Chau Van Chuc,0,5/6/1986,79301000212,Can Tho,596715464,CS000005,Y si/Bac si,KH000023,NV000212
NV000213,Lang Kim Lam,1,12/21/1987,79301000213,Tien Giang,967384878,CS000014,Y si/Bac si,KH000002,NV000213
NV000214,Quan Hoang Khoa,1,1/1/1967,79301000214,Thua Thien-Hue,825021451,CS000022,Y si/Bac si,KH000002,NV000214
NV000215,Nguyen  An Va,0,12/4/1969,79301000215,Dong Nai,785866475,CS000007,Y si/Bac si,KH000018,NV000215
NV000216,Do Hoang Nguyet,0,5/13/1983,79301000216,Ha Noi,766650075,CS000024,Y si/Bac si,KH000011,NV000216
NV000217,Huynh The Khanh,0,8/23/1971,79301000217,Binh Duong,905377542,CS000007,Y si/Bac si,KH000019,NV000217
NV000218,Dang Dieu Binh,0,2/18/1997,79301000218,Tien Giang,340128568,CS000040,Y si/Bac si,KH000002,NV000218
