mabn,macsyt,ten,cmnd,ngsinh,sonha,duong,quan,tinh,tsbenh,tsbenhgd,diung,matkhau
BN000039,CS000013,Phuong Thong Huy,79201000039,2/15/1998,2468,Bui Thi Xuan,Son Tra,Ho Chi Minh,,Hoi chung Turner,Balsam của Peru,BN000039
BN000040,CS000007,La Van Nghiem,79201000040,1/24/1990,1952,Bui Thi Xuan,11,Binh Phuoc,,Hoi chung Turner,,BN000040
BN000041,CS000029,Truon Quang Kien,79201000041,9/10/1976,592,Bui Thi Xuan,O Mon,Ho Chi Minh,,Benh bach tang,Kali diicat,BN000041
BN000042,CS000045,Phuong Gia Duyen,79201000042,4/8/1983,3562,Nguyen Thai Binh,Hoa Vang,An Giang,,,,BN000042
BN000043,CS000018,Huong Ngoc Nga,79201000043,10/18/1962,1393,Nguyen Du,Tan Phu,Dak Nong,,Hoi chung Turner,Kali diicat,BN000043
BN000044,CS000017,Chung Ba Thuy,79201000044,12/26/1997,4365,Trung Trac,Hoang Mai,Quang Nam,,Benh dong kinh ,Hon hop Caine,BN000044
BN000045,CS000035,Ngo Thong Khoa,79201000045,6/5/1975,1413,Cach Mang Thang Tam,Ngu Hanh Son,Can Tho,,,,BN000045
BN000046,CS000010,Quach Ba Dung,79201000046,8/12/1963,4120,Trinh Van Can,Binh Thanh,Tien Giang,,Hoi chung Turner,Kali diicat,BN000046
BN000047,CS000025,Hua Hoang Ly,79201000047,9/4/1971,4487,Truong Dinh,9,Ben Tre,,Benh tim ,,BN000047
BN000048,CS000047,Dang Nhu Nguyet,79201000048,10/12/1984,2834,Le Lai,Go Vap,Quang Ninh,,Benh tim ,Hon hop Caine,BN000048
BN000049,CS000022,Vo Kim Dao,79201000049,7/15/1985,662,Truong Dinh,Lien Chieu,Bac Ninh,,,Balsam của Peru,BN000049
BN000050,CS000042,Phi Mai Huong,79201000050,9/17/1982,1036,Le Anh Xuan,Thanh Khe,Phu Yen,,,Hon hop cao su den ,BN000050
BN000051,CS000004,Hinh Dieu Lang,79201000051,12/9/1990,3399,Ho Tung Mau,Hoa Vang,Ha Noi,,,Mercapto hon hop,BN000051
BN000052,CS000034,Hua Anh Hung,79201000052,4/24/1998,3272,Cach Mang Thang Tam,Cau Giay,Da Nang,,,Disperse blue 106,BN000052
BN000053,CS000011,Ngo Hoang Hong,79201000053,7/22/1973,1185,Bui Thi Xuan,Hoang Mai,Long An,,,,BN000053
BN000054,CS000040,Quach Dai Thi,79201000054,10/19/1992,913,Trung Trac,Hong Bang,Hoa Binh,,Benh tieu duong ,,BN000054
BN000055,CS000048,Duong Vuong Nghia,79201000055,3/11/1956,596,Cach Mang Thang Tam,9,Ben Tre,,,,BN000055
BN000056,CS000014,Truon Minh Hong,79201000056,6/20/1990,3412,Phan Chu Trinh,Ba Dinh,Dak Nong,,Hoi chung Klinefelter,,BN000056
BN000057,CS000050,Ngo Thong Huy,79201000057,11/4/1983,4958,De La Thanh,Ninh Kieu,Long An,,,,BN000057
BN000058,CS000037,Bach Minh Cuong,79201000058,9/19/1987,2760,Nguyen Chi Thanh,Ba Dinh,Binh Duong,,,Imidazolidinyl ure,BN000058
BN000059,CS000003,Khuong Quang Khoa,79201000059,9/10/1980,2010,Bui Thi Xuan,9,Gia Lai,,Benh mau kho dong ,Balsam của Peru,BN000059
BN000060,CS000030,Phuong Ha Bach,79201000060,4/26/2000,3481,Le Thi Rieng,Hai An,Ninh Binh,,,Diazolidinyl ure,BN000060
BN000061,CS000044,Vo Nhu Luong,79201000061,11/25/1990,4083,Nguyen Du,Le Chan,Son La,,,Kali diicat,BN000061
BN000062,CS000014,Chau Dinh Son,79201000062,11/5/1968,4503,Phan Boi Chau,10,Yen Bai,,Cao huyet ap,,BN000062
BN000063,CS000030,Hua Ba Thi,79201000063,11/16/1960,2952,Bai Say,Dong Da,Ha Nam,,,,BN000063
BN000064,CS000034,Phan Mai Dung,79201000064,4/24/1973,550,Le Anh Xuan,Hoa Vang,Soc Trang,,,Mercaptobenzothiazole,BN000064
BN000065,CS000009,La Thi Minh,79201000065,7/30/1952,3031,Ho Tung Mau,Cau Giay,Dak Nong,,Benh dong kinh ,,BN000065
BN000066,CS000035,Ho Dieu Ba,79201000066,10/28/1962,1021,Nguyen Thai Binh,Go Vap,Phu Yen,,,Hon hop cao su den ,BN000066
BN000067,CS000038,Le  Hung Chau,79201000067,7/6/1999,300,Giai Phong,Ngu Hanh Son,Gia Lai,,Benh bach tang,Imidazolidinyl ure,BN000067
BN000068,CS000045,Quan Huy Thoa,79201000068,5/30/2000,3949,Le Lai,Tan Phu,Ca Mau,,,Kali diicat,BN000068
BN000069,CS000017,Nguyen  Duc Sinh,79201000069,5/31/1970,4750,Bui Thi Xuan,Tan Binh,Kon Tum,,,,BN000069
BN000070,CS000048,Pham Thai Cung,79201000070,11/25/1993,3986,Phan Chu Trinh,8,An Giang,,Benh tim ,,BN000070
BN000071,CS000014,La Viet Minh,79201000071,1/12/1987,2707,Nguyen Trai,Hoang Mai,Ca Mau,,,Hon hop Caine,BN000071
BN000072,CS000041,Lanh Hieu Hong,79201000072,11/25/1981,4963,Cong Quynh ,Go Vap,Thai Binh,,,,BN000072
BN000073,CS000016,Quach Duy Thy,79201000073,11/14/1986,3869,Dang Tran Con,3,Quang Tri,,Cao huyet ap,,BN000073
BN000074,CS000007,Duong Vuong Chanh,79201000074,12/29/1998,2111,Ly Tu Trong,Ha Dong ,Bac Ninh,,,,BN000074
BN000075,CS000029,Hoang Dai Sang,79201000075,7/9/1980,2013,Bui Thi Xuan,Thanh Khe,Vinh Long,,,Ethylenediamine,BN000075
BN000076,CS000012,Bach Tan Nga,79201000076,4/22/1950,3927,Bach Mai,Phu Nhuan,Quang Nam,,Benh mu mau ,Hon hop cao su den ,BN000076
BN000077,CS000001,Quach Trong Dung,79201000077,1/22/1971,850,Trinh Van Can,9,Soc Trang,,,,BN000077
BN000078,CS000024,Duong Kim Long,79201000078,6/25/1955,1602,Ho Tung Mau,Hoa Vang,Ba Ria-Vung Tau,,Benh tieu duong ,Bacitracin,BN000078
BN000079,CS000045,Le  Thu Chi,79201000079,12/14/1965,3755,Truong Dinh,Hai Chau,Dien Bien,,,Mercapto hon hop,BN000079
BN000080,CS000037,Do Viet Lam,79201000080,2/8/1963,4611,Dang Thi Nhu,3,Dong Nai,,,Diazolidinyl ure,BN000080
BN000081,CS000036,Quang Ba Quang,79201000081,12/7/1993,2393,Cach Mang Thang Tam,O Mon,Thai Nguyen,,,Budesonide,BN000081
BN000082,CS000050,Bach Ba Hong,79201000082,3/19/1957,3520,Pho Hue,Cam Le,Ha Nam,,Benh tieu duong ,Hon hop Caine,BN000082
BN000083,CS000030,Ngo Thong Suong,79201000083,12/26/1998,3115,Ly Tu Trong,Hoang Mai,Lang Son,,,,BN000083
BN000084,CS000030,Huong Ngoc Loan,79201000084,2/19/1962,1030,Nguyen Trung Truc,Hoang Mai,Bac Kan,,,,BN000084
BN000085,CS000023,Truon Thanh Huyen,79201000085,7/21/1970,3433,Nguyen Du,12,Ha Tinh,,,Quaternium,BN000085
BN000086,CS000024,Bach Ba Chi,79201000086,6/23/1988,3658,Dang Thi Nhu,Thu Duc,Lam Dong,,Benh tieu duong ,Mercaptobenzothiazole,BN000086
BN000087,CS000012,Lang Thi Manh,79201000087,5/5/1974,2897,Le Lai,Tan Phu,Ho Chi Minh,,Benh bach tang,,BN000087
BN000088,CS000021,Trung Vuong Huong,79201000088,3/20/1959,1613,Cong Quynh ,Ngu Hanh Son,Tuyen Quang,,,,BN000088
BN000089,CS000039,Phung Viet Huong,79201000089,1/20/1977,2904,Le Lai,Ba Dinh,Lai Chau,,Hoi chung Turner,Bronopol,BN000089
BN000090,CS000032,Phi Hong Thu,79201000090,2/27/1977,621,Cach Mang Thang Tam,Do Son,Binh Thuan,,Benh mu mau ,Imidazolidinyl ure,BN000090
BN000091,CS000031,Le  Hung Phuong,79201000091,2/19/1994,607,Le Thanh Ton,10,Bac Lieu,,,,BN000091
BN000092,CS000050,Hua Hieu Xuyen,79201000092,12/19/1992,3155,Giai Phong,9,Quang Tri,,,Ethylenediamine,BN000092
BN000093,CS000014,Ho Ba Hanh,79201000093,11/22/1973,1502,Truong Dinh,Thanh Xuan,Vinh Long,,,Bronopol,BN000093
BN000094,CS000026,Pham The Minh,79201000094,7/19/1997,3106,Bui Vien,Cau Giay,Can Tho,,,Diazolidinyl ure,BN000094
BN000095,CS000025,Lang Thanh Duyen,79201000095,8/27/1975,3211,Pham Hong Thai,10,Soc Trang,,,Bacitracin,BN000095
BN000096,CS000045,Bach Nhu Uyen,79201000096,11/5/1979,3262,Trinh Van Can,Tan Phu,Thai Nguyen,,Hoi chung Klinefelter,,BN000096
BN000097,CS000008,Huynh Hung Ly,79201000097,7/18/1951,3805,Ly Tu Trong,Hai Chau,Quang Ngai,,Benh mu mau ,Ethylenediamine,BN000097
BN000098,CS000027,Phuong Thanh Danh,79201000098,2/1/1987,2308,Bui Vien,Hoan Kiem,Bac Giang,,,Quaternium,BN000098
BN000099,CS000005,Phung Phu Uyen,79201000099,6/5/1999,2705,Tran Hung Dao,8,Soc Trang,,Benh mau kho dong ,Diazolidinyl ure,BN000099
BN000100,CS000034,Do Nhu Bich,79201000100,9/9/1978,517,Trung Nhi,Kien An,Ho Chi Minh,,Hoi chung Klinefelter,,BN000100
BN000101,CS000048,Quan Hung Nhiem,79201000101,7/22/1990,786,Dong Xuan,Tu Liem,Kon Tum,,Benh dong kinh ,Hon hop Carba,BN000101
BN000102,CS000020,Lanh Hieu Vuong,79201000102,9/25/1972,3713,Le Anh Xuan,Tu Liem,Kon Tum,,Benh tieu duong ,Balsam của Peru,BN000102
BN000103,CS000009,Lac Duy Nga,79201000103,6/13/1970,764,Ham Nghi,Tay Ho,Bac Lieu,,,Hon hop Caine,BN000103
BN000104,CS000023,Truon Le Thu,79201000104,4/10/1959,1121,Pham Hong Thai,Cai Rang,Lao Cai,,,,BN000104
BN000105,CS000011,Huynh Vinh Quyen,79201000105,8/5/1992,161,Trung Trac,Thu Duc,Lai Chau,,,Mercapto hon hop,BN000105
BN000106,CS000049,Huynh Duc Quyen,79201000106,11/26/1996,4861,Bui Thi Xuan,10,Ben Tre,,Hoi chung Klinefelter,Hon hop Caine,BN000106
BN000107,CS000007,Bui Vuong Xuong,79201000107,9/16/1990,2801,Le Thi Rieng,Son Tra,Tay Ninh,,Cao huyet ap,Imidazolidinyl ure,BN000107
BN000108,CS000028,Binh Tan Quang,79201000108,3/13/1981,2232,Nguyen Thi Minh Khai,Hoang Sa,Can Tho,,,Bacitracin,BN000108
BN000109,CS000043,Truon Vinh Nguyet,79201000109,10/1/1994,2291,Ly Tu Trong,Hoan Kiem,Quang Ngai,,,,BN000109
BN000110,CS000001,Phi Trong Nham,79201000110,3/5/1954,3022,Bui Thi Xuan,Hai An,Thua Thien-Hue,,,Hon hop Carba,BN000110
BN000111,CS000011,Bui Anh Bach,79201000111,4/25/1984,320,Nguyen Thai Binh,Le Chan,Dong Nai,,Benh tim ,Hon hop cao su den ,BN000111
BN000112,CS000040,Nguyen  Ngoc Huyen,79201000112,10/12/1974,2671,Truong Dinh,Hoang Mai,Tay Ninh,,,Hon hop cao su den ,BN000112
BN000113,CS000006,Khuong Hoang Khuong,79201000113,11/21/1956,4829,Tran Hung Dao,Hoa Vang,Lam Dong,,Benh mau kho dong ,Hon hop cao su den ,BN000113
BN000114,CS000041,Phung Hieu Kiet,79201000114,7/11/1951,2843,Bach Mai,Thanh Khe,Dong Thap,,,Diazolidinyl ure,BN000114
BN000115,CS000042,Huynh Dang Phuc,79201000115,6/16/1963,629,Nguyen Thai Hoc,Ninh Kieu,Nam Dinh,,,,BN000115
BN000116,CS000026,Ngo Thanh Khoan,79201000116,3/8/1970,2960,Nguyen Chi Thanh,Hoa Vang,Quang Tri,,Benh dong kinh ,,BN000116
BN000117,CS000024,Binh Le Hien,79201000117,10/6/1988,3187,Ba Trieu,Thot Not,Khanh Hoa,,Hoi chung Turner,,BN000117
BN000118,CS000035,Binh Van Bich,79201000118,7/13/1995,4837,Trinh Van Can,4,Thanh Hoa,,Benh tim ,Mercapto hon hop,BN000118
BN000119,CS000045,Bach Phu Bang,79201000119,1/25/1957,3605,Pham Hong Thai,Go Vap,Ca Mau,,,,BN000119
BN000120,CS000001,Ly Hoang Sinh,79201000120,9/1/1957,133,Ba Trieu,Duong Kinh,Bac Kan,,Benh dong kinh ,,BN000120
BN000121,CS000039,Vo Dang Dung,79201000121,12/19/1996,1545,Pho Hue,9,Kon Tum,,Benh dong kinh ,Disperse blue 106,BN000121
BN000122,CS000013,Binh Viet Thinh,79201000122,3/26/1966,34,Phan Chu Trinh,Ngo Quyen,Dak Lak,,Benh bach tang,Quaternium,BN000122
BN000123,CS000047,Phi Viet Pham,79201000123,4/23/1992,970,Phan Boi Chau,Hong Bang,Lang Son,,,,BN000123
BN000124,CS000022,Binh Tan Phi,79201000124,7/3/1963,3164,Trung Trac,Tu Liem,Vinh Phuc,,Hoi chung Klinefelter,Kali diicat,BN000124
BN000125,CS000007,Do Thanh Ai,79201000125,9/22/1986,2602,Bach Mai,Tu Liem,Vinh Phuc,,Benh dong kinh ,Diazolidinyl ure,BN000125
BN000126,CS000029,Pham Mai Song,79201000126,11/2/1973,3912,Nguyen Thi Minh Khai,Le Chan,Ba Ria-Vung Tau,,Hoi chung Down ,,BN000126
BN000127,CS000007,Duong Hong Hanh,79201000127,4/26/1997,1198,Dong Xuan,1,Nam Dinh,,Benh tim ,Bacitracin,BN000127
BN000128,CS000026,Hinh Anh Nhiem,79201000128,11/13/1986,1354,Nguyen Du,Dong Da,Lang Son,,,Mercaptobenzothiazole,BN000128
BN000129,CS000050,Chu Thu Loan,79201000129,5/31/1993,964,Phan Chu Trinh,1,Ba Ria-Vung Tau,,Benh mu mau ,,BN000129
BN000130,CS000038,Phuong Hoang Thuan,79201000130,1/12/1977,2020,Nguyen Chi Thanh,Ninh Kieu,Ha Nam,,Cao huyet ap,,BN000130
BN000131,CS000011,Sam Viet Hong,79201000131,4/9/1977,3101,Giai Phong,Lien Chieu,Ho Chi Minh,,,Diazolidinyl ure,BN000131
BN000132,CS000040,Ho Quang Long,79201000132,9/24/1952,3224,Le Thi Rieng,Tan Binh,Ha Nam,,Benh tieu duong ,Hon hop Carba,BN000132
BN000133,CS000041,Khuong Thi Thuy,79201000133,1/29/1956,2682,Le Lai,Tan Binh,Soc Trang,,,Budesonide,BN000133
BN000134,CS000048,Cong Quang Khuong,79201000134,6/25/1984,4303,Nguyen Cong Tru,Binh Tan,Da Nang,,Cao huyet ap,,BN000134
BN000135,CS000005,Sam Van Khuong,79201000135,2/10/1968,4781,Bach Mai,Thot Not,Ha Tinh,,,,BN000135
BN000136,CS000018,Quan Duc Nguyet,79201000136,3/24/1984,4460,Cach Mang Thang Tam,Cai Rang,Vinh Phuc,,,Hon hop cao su den ,BN000136
BN000137,CS000023,Phung Quo Long,79201000137,8/8/2000,2031,Nguyen Trung Truc,Hoan Kiem,Ho Chi Minh,,,Hon hop Caine,BN000137
BN000138,CS000022,Pham Dai Tho,79201000138,5/18/1967,443,Le Thi Rieng,4,Quang Binh,,,,BN000138
BN000139,CS000030,Do Viet Thuong,79201000139,7/19/1961,1995,Vo Van Kiet,Go Vap,Binh Thuan,,,,BN000139
BN000140,CS000010,Vu Thanh Lam,79201000140,8/21/1974,3085,Bach Mai,Tan Phu,Hai Phong,,,Ethylenediamine,BN000140
BN000141,CS000026,Quang Hung Hai,79201000141,10/28/1978,3299,Ly Tu Trong,Hoa Vang,Hau Giang,,,Hon hop Caine,BN000141
BN000142,CS000050,Sam Viet Cat,79201000142,9/16/2000,3769,Nam Ky Khoi Nghia,7,Ha Tinh,,,Ethylenediamine,BN000142
BN000143,CS000026,Hua Dai Lieu,79201000143,5/2/1985,4739,Pham Ngu Lao,5,Hung Yen,,Cao huyet ap,Quaternium,BN000143
BN000144,CS000010,Phuong Ba Boc,79201000144,6/5/2000,754,Pho Hue,Ngu Hanh Son,Thanh Hoa,,,,BN000144
BN000145,CS000024,Hua Hieu Au,79201000145,12/16/1975,2129,Pham Ngu Lao,6,Dong Thap,,Cao huyet ap,Hon hop Caine,BN000145
BN000146,CS000003,Pham Ngoc Thinh,79201000146,2/4/1956,743,Nguyen Du,Long Bien,Thua Thien-Hue,,,,BN000146
BN000147,CS000047,Quang Vuong Tho,79201000147,9/16/1987,2433,Nguyen Thi Minh Khai,Hoan Kiem,Bac Ninh,,Hoi chung Klinefelter,Hon hop Caine,BN000147
BN000148,CS000016,Lang Trong Quyen,79201000148,5/26/1952,4521,De La Thanh,Phu Nhuan,Thai Nguyen,,Benh dong kinh ,Hon hop Carba,BN000148
BN000149,CS000037,Hoang Quo Quyen,79201000149,12/25/1981,1662,De La Thanh,Phu Nhuan,Ba Ria-Vung Tau,,Benh tim ,Balsam của Peru,BN000149
BN000150,CS000041,Duong Ba Phuong,79201000150,7/26/1971,3418,Nguyen Thai Hoc,Ninh Kieu,Ha Tinh,,Benh mau kho dong ,Imidazolidinyl ure,BN000150
BN000151,CS000041,Ly Thong Lang,79201000151,3/31/1954,4961,Dang Tran Con,Le Chan,Nam Dinh,,,Balsam của Peru,BN000151
BN000152,CS000010,Lac Mai Suong,79201000152,2/25/1990,4490,Cong Quynh ,Duong Kinh,Ben Tre,,,,BN000152
BN000153,CS000001,Bui Phu Ba,79201000153,1/27/1960,2218,Ham Nghi,Do Son,Ha Tinh,,,,BN000153
BN000154,CS000040,Binh Quo Manh,79201000154,8/13/1952,4708,Dang Tran Con,10,Ben Tre,,Benh tim ,Mercapto hon hop,BN000154
BN000155,CS000003,Hinh An Binh,79201000155,11/1/1967,1627,Trung Nhi,Duong Kinh,Binh Dinh,,,,BN000155
BN000156,CS000043,Quang Ba Cao,79201000156,5/29/1982,1669,Pham Hong Thai,Hai Chau,Soc Trang,,Cao huyet ap,,BN000156
BN000157,CS000017,Huong Dieu Sang,79201000157,9/7/1995,3524,Le Thanh Ton,Long Bien,Ba Ria-Vung Tau,,,Mercapto hon hop,BN000157
BN000158,CS000010,Chu Xuan Boc,79201000158,9/25/1986,4447,Le Loi,Go Vap,Bac Kan,,Benh bach tang,Mercaptobenzothiazole,BN000158
BN000159,CS000045,Thinh Van Huy,79201000159,10/13/1982,1451,De La Thanh,Hoang Mai,Gia Lai,,,Disperse blue 106,BN000159
BN000160,CS000024,Phi Duc Vuong,79201000160,12/11/1953,4116,Nam Ky Khoi Nghia,Cau Giay,Thanh Hoa,,Hoi chung Turner,,BN000160
BN000161,CS000025,Quang Anh Nham,79201000161,11/28/1983,1121,Dang Thi Nhu,10,Hau Giang,,Hoi chung Down ,Budesonide,BN000161
BN000162,CS000032,Le  Anh Sinh,79201000162,4/21/1995,3687,Giai Phong,5,Gia Lai,,,,BN000162
BN000163,CS000030,Quach Dai Bach,79201000163,10/30/1977,3493,Nguyen Thien Thuat,10,Vinh Phuc,,Cao huyet ap,Imidazolidinyl ure,BN000163
BN000164,CS000004,Hua Phu Thoa,79201000164,2/2/1952,186,Le Loi,Le Chan,Da Nang,,,Kali diicat,BN000164
BN000165,CS000013,Vo Dai Loan,79201000165,11/17/1990,1496,Dang Thi Nhu,10,Dong Thap,,,Disperse blue 106,BN000165
BN000166,CS000008,Huong Thanh Boc,79201000166,11/18/1990,4185,Bui Thi Xuan,6,Ha Noi,,,Budesonide,BN000166
BN000167,CS000031,Le  Thi Boc,79201000167,8/28/1963,339,De Tham,Ngo Quyen,Long An,,,Hon hop Caine,BN000167
BN000168,CS000005,Phung Tan Chanh,79201000168,1/7/1999,956,Pham Ngu Lao,Long Bien,Hai Phong,,,Disperse blue 106,BN000168
BN000169,CS000025,Quan Vinh Canh,79201000169,5/23/1976,885,De La Thanh,Thu Duc,Binh Duong,,Benh tim ,Disperse blue 106,BN000169
BN000170,CS000017,Phung Thong Nguyet,79201000170,11/19/1989,4105,Bach Mai,Do Son,Binh Phuoc,,,Diazolidinyl ure,BN000170
BN000171,CS000013,Hinh Trong Kien,79201000171,7/1/1965,3984,Bach Mai,5,Tra Vinh,,,,BN000171
BN000172,CS000027,Hinh Thi Lam,79201000172,9/22/1991,2413,Le Thanh Ton,Thu Duc,Thai Nguyen,,Benh bach tang,Ethylenediamine,BN000172
BN000173,CS000040,Le  Duc Hung,79201000173,9/3/1954,419,Ly Tu Trong,Hoang Sa,Son La,,,Mercapto hon hop,BN000173
BN000174,CS000005,Duong Van Chinh,79201000174,1/10/1957,4300,Bach Mai,Thanh Xuan,Tuyen Quang,,Benh tieu duong ,,BN000174
BN000175,CS000033,Truon Dinh An,79201000175,8/29/1967,4437,De Tham,12,Vinh Phuc,,Benh bach tang,,BN000175
BN000176,CS000010,Lac Thai Loan,79201000176,10/2/1994,3794,Bui Thi Xuan,Tu Liem,Ha Tinh,,Benh bach tang,,BN000176
BN000177,CS000039,Vo Thong Chau,79201000177,4/3/1952,3889,Nguyen Cong Tru,Hoan Kiem,Vinh Phuc,,,,BN000177
BN000178,CS000027,Huong Thi Va,79201000178,7/15/1952,4026,Trung Trac,Lien Chieu,Ninh Binh,,,Hon hop cao su den ,BN000178
BN000179,CS000029,Truon Van Sinh,79201000179,2/13/1970,946,Bach Mai,11,Dak Nong,,,,BN000179
BN000180,CS000008,Cong Tan Song,79201000180,9/22/1960,501,Dang Tran Con,Binh Thanh,Hai Duong,,,,BN000180
BN000181,CS000032,Bach Ha Thuong,79201000181,3/24/1955,1491,Dong Xuan,Thanh Xuan,Hai Phong,,Benh tieu duong ,Mercapto hon hop,BN000181
BN000182,CS000047,Phuong Minh Sinh,79201000182,8/23/1993,3890,Pham Hong Thai,11,Thua Thien-Hue,,,Budesonide,BN000182
BN000183,CS000037,Ho Thu Lang,79201000183,2/24/1962,1380,Nguyen Trung Truc,Thu Duc,Hai Phong,,Benh tieu duong ,Mercaptobenzothiazole,BN000183
